2.2,33.1,95.9
24.4,27.6,96.7
42,86.6,95.7
16.2,93.6,83.8
15.3,11,73.1
99.9,50,17.4
36.3,34,60.7
17.5,9.7,96.6
11.9,74.9,31.4
62.1,70.6,88.1
0.9,43.9,22.3
34.3,38.9,65.3
68.4,13.1,45
61.9,71.4,36.5
42.3,1,23.6
77,3.7,0.5
56.3,82.2,58.5
64,34.1,9.1
85,3.9,32.2
85.8,22.9,5.1
97.1,21.2,64.6
20.8,25.7,21.9
66.9,18.8,93.5
16.4,12.9,37.3
79.3,26.9,80.2
16.3,70,14
40,34.6,5.4
98.9,18.5,59.7
81.4,78.5,60.6
53.3,58.2,4.7
11.7,87.6,8.2
73.6,92,75.5
22.6,50,31.8
57.5,77.6,61.3
86.9,47.3,25.3
85.5,9,52.7
31.2,38.2,13.5
72.7,86.3,63
86.2,7.8,29.7
96,50.1,81.5
31.6,0.8,39.7
95.5,86.2,85.2
79.2,50.2,90.3
92.2,20.1,97.3
29.9,11.6,15.2
57.9,56.3,4
4,3.5,63.8
67.1,33.8,62.1
30.6,63.6,96.8
80,70.4,67.5
0.4,87.4,10.3
70.1,32.6,3.8
3.4,71,68.7
70.4,46.9,57.4
19.3,2.5,19.9
96,75.4,91.8
8.2,76.7,40.5
38.7,35.6,27.8
9.7,11.6,60.4
53.8,17.8,34.7
52.5,63.7,89.8
32.2,99.7,93.8
58.5,39.3,18.7
7.8,79.3,4.8
81.4,77.7,78.3
69.5,75.5,0.8
42.6,59.3,12.9
11.3,15.7,25.2
64.9,3.7,79.8
16,34.3,74.4
45.3,84.8,41.6
53.8,81.4,40.9
93.2,12.2,23.5
18.4,46.8,90.2
68.5,71.8,40.5
72.3,12.8,3.6
66.2,58.2,39.5
4.7,58.6,34.1
43.2,77.5,95.2
82.4,56,27.2
56.6,44.3,24.4
44.8,68.7,4.2
87.8,97.6,98
6.4,70,68
35.1,51.5,14.1
54,89.1,21.5
30.9,9.9,71.9
21.8,0.5,66.1
64.3,91.5,42.4
88.6,47.4,75.3
78,48.5,83.6
1,58.5,35.6
29.4,8.6,26.9
32.6,63.9,23.7
95.1,48.5,3.9
55.5,47.6,96.4
28.4,31.6,92.9
53.8,95.1,22.2
17.1,44,16.8
11.9,68,68.6
87.7,17,35.8
12.2,29.2,55.4
9,85.9,26.8
38.9,53.3,87
32.7,95.6,50.1
79.4,42.8,81.3
72,87.2,26.5
84.3,54.6,26.5
67.7,12.7,24.1
11,48.1,80.6
52.7,63.8,45.7
63.7,4.4,47.1
92,47.6,7
74.4,78.6,18.5
11.2,12.2,32.8
22,67.8,20.3
37.1,22.6,92.2
26.2,28.9,36.5
18.7,37,48.1
85.7,42.6,23.3
76.3,27.6,15.5
21.8,56.6,49.5
65.7,41.1,22.9
97.2,48.7,68
91,85.1,13.7
89.8,23.7,27.8
81.6,85.6,5.4
16.9,98,37.6
29.1,42.8,95.7
79.3,31.5,47.2
30.3,35.1,84.4
16.2,61.2,67.7
25.1,81.3,23.3
57.3,59,70.1
38.7,82.3,35.7
71.5,25,3.6
48.6,53.2,49
95.5,32.6,35.5
28.1,86.9,83.4
78.5,23.8,65.3
25.7,13,53.2
45.5,0.7,80.2
98.8,23.1,24
70.1,62.4,52.2
63.8,43,49.3
36.9,40.8,31.3
23.3,67.2,18
54.4,83.7,54.3
92.5,45.2,48.5
94,96.1,7.9
96.2,30.1,27.5
12.6,58.5,75.5
89,33.5,89.2
92.9,5.6,11.1
28.8,97.5,31.3
63.2,6.8,31.8
94.3,96.4,76.5
75.6,11.7,23
21.2,1.8,92
70.9,72.7,71.5
72.3,12.2,29.7
6.1,1.5,49.5
91.1,1.3,97.9
47.4,77.6,94.4
80.3,91.9,68.7
23.3,2.2,42.5
0.1,72.4,69.1
27.4,50.8,84.3
8.8,57.2,65.8
4.9,73,51.1
63.9,19.5,12.2
46.2,9.3,13.5
85.7,4.4,41.9
30,29.2,29.6
52.1,66.7,82.2
24,38.8,98.4
92.2,85.7,79.4
37.7,71.5,38.4
89.1,40.9,38.4
82.1,55.3,97.1
54.9,11.2,59.9
1.6,33.8,1.5
4.1,32.5,86.2
6.5,30.4,90.6
70.5,27.8,32.5
77.8,65.7,19.2
65.6,37.7,80.6
83.9,22.2,37.5
27.2,30.6,72.9
22.1,44,86.1
44.3,45.1,29.2
45.8,0.5,43.8
9.3,33.3,54.3
92.4,89.9,93.7
43.6,23.6,21.4
15.8,70.9,61.5
18.1,14.3,75.9
72.6,36.2,3
9.1,21,78.2
85,18,71.6
74.1,72.4,46.2
21.4,42.4,48.1
65.2,22.6,2.3
89,94.2,28.8
78.1,10.3,13.5
53.2,52.7,85.8
2.8,79.4,22.7
12.7,75.2,67.3
13.2,7.8,87.5
88.2,54.6,80.8
31.6,70.3,21.2
47.4,68.1,47.2
16.4,43.8,34.3
99.3,91.6,89.2
80.1,14.6,73.8
43.3,20.2,85.5
74.3,21.6,60.5
97.2,68.7,78
79.5,40,24.5
8.1,95.2,13
32.1,99.6,38.2
14.1,43,77.2
78,60.2,33.2
2.1,82.4,25.6
60.8,69.3,44.7
18.4,33.5,66.4
43.6,48.2,14.9
95.8,51.4,99.5
4.2,52.6,26.5
50.9,82.7,65.3
25.1,50.4,87.7
48.4,62.5,56.6
75,2.7,98.1
72.9,10.5,14.4
59.8,22.8,1.8
56.3,72.2,9.6
34.2,61.8,91.9
3.1,73.8,11.9
91.8,42.8,75.1
63.4,85,96.7
9,3.5,10.6
60.2,72.6,90.3
62.9,4,75.2
10.4,64.5,90.2
46.5,97.5,80.5
51.1,2.2,3
35.4,97.2,13.5
55.1,68.5,32.9
54,42.1,50.9
16.9,52.3,13
39.1,71.8,82.2
2.1,66.4,27.2
59.5,0.3,15.5
50.1,91.2,62.5
76.9,72.9,16.6
96.1,21.3,44.2
94,22.6,22.3
8.7,60.3,5.9
59.1,26.5,43.1
2.7,77.6,49.2
35.3,11.4,63.7
56.4,39.4,2.8
87.9,26.3,72.9
24,22.8,40.3
34.6,75.3,99.1
39.4,75.5,13.4
80.6,4.7,70.7
31.6,8,41.4
46.6,44.6,85.9
34.9,31.6,77.5
10.2,19.3,65.7
44.8,14.9,49.5
1.4,37,78.2
31.5,29.3,27.9
83.7,26.1,97.9
41.4,35.1,75.6
92.4,4.2,45.7
97,58.6,81.3
85.2,44.3,55.6
99.4,88.2,54.5
2.4,9.4,81.2
24,22.2,71.4
48.5,65.7,31.3
96.4,17.5,36
37.3,83.7,25.6
11.5,30.8,45.4
68.8,98.2,96.3
93.2,53.4,98.7
15.4,18.9,24.9
9.9,96.7,88.1
93.5,75.1,59.8
69.3,64.6,68.9
62.6,3.7,8.4
1.3,40.5,72.5
34.4,18.3,29
74.1,70,95.2
38.5,56.6,96.4
68.9,50.3,99.4
2.8,65.3,4.1
61.9,0.1,27.5
32.4,75.4,82
56.6,41.3,42.6
46.2,91.2,94.7
35.4,83.1,14.8
58.4,88.3,36
94,20,45.5
76.6,86.2,75.9
5.3,80.4,93.8
62.9,3.9,1.2
67.4,59.9,99.3
87.8,23.8,70.7
13.1,48,74.2
5.2,89.8,91.4
80.9,75,45.2
23.6,59.4,61.3
8.6,94,13.1
1.5,55.6,20.6
86.5,34,58.5
78.6,85.8,9.1
54.2,33.1,21.3
24.1,22.9,6
89.8,13.9,64.4
38.6,76.4,30.4
38.7,22.1,81.1
22.2,19.9,58.9
80.6,3.8,67.8
21.4,16,55.2
33.1,93.8,96.7
49.1,82.7,99.7
54.2,46.2,78.8
36.7,13.2,39.8
65.7,64.4,35
92.9,25.4,51.2
59.4,62.1,43.2
38,37.9,12.3
62.3,87.2,13.9
87,83.7,75.9
14.8,68.7,39.8
89.4,69.1,30.6
77.3,65.5,99.3
90.9,44.6,26.1
45.5,42.2,38.6
52.2,0.6,33
35.4,19.1,48.9
17.5,65.7,67.9
64.4,36.5,48
46.2,32.9,27.6
73.8,5.5,65.6
42.6,52.8,37.2
46.1,63,48.4
58.3,51.6,65.3
49.6,1.2,15.7
88.9,15.5,19.3
61.4,4.8,61.1
98.6,41,32.6
71.8,0.5,49
50.8,58.2,98.4
72.9,29.9,58.5
63.3,36.2,47.4
14.8,93.3,52.8
91.3,59.1,18.5
63.3,95.9,72.4
51.3,22.8,96.8
94.9,57.8,95.2
7.5,20.2,12.1
24.9,29.2,28.9
74.6,65.6,19.4
55.2,81,63.9
17.8,65.6,29.1
